codigo_venda,data,id_loja,produto,quantidade,valor_unitario,valor_final
1,2019-01-01,Iguatemi Esplanada,Sapato Estampa,1,358.0,358.0
1,2019-01-01,Iguatemi Esplanada,Camiseta,2,180.0,360.0
1,2019-01-01,Iguatemi Esplanada,Sapato Xadrez,1,368.0,368.0
2,2019-01-02,Norte Shopping,Relógio,3,200.0,600.0
2,2019-01-02,Norte Shopping,Chinelo Liso,1,71.0,71.0
3,2019-01-02,Rio Mar Shopping Fortaleza,Cinto Linho,1,248.0,248.0
5,2019-01-02,Shopping Barra,Calça,1,170.0,170.0
6,2019-01-02,Shopping Ibirapuera,Polo Listrado,4,149.0,596.0
7,2019-01-02,Norte Shopping,Camisa Gola V Listrado,1,116.0,116.0
7,2019-01-02,Norte Shopping,Camisa Liso,1,105.0,105.0
8,2019-01-02,Iguatemi Campinas,Terno Estampa,5,706.0,3530.0
9,2019-01-02,Shopping Center Leste Aricanduva,Tênis Linho,1,294.0,294.0
9,2019-01-02,Shopping Center Leste Aricanduva,Casaco Xadrez,2,259.0,518.0
10,2019-01-02,Passei das Águas Shopping,Camiseta Xadrez,2,200.0,400.0
10,2019-01-02,Passei das Águas Shopping,Cueca Liso,1,69.0,69.0
11,2019-01-02,Shopping Recife,Camiseta,1,180.0,180.0
11,2019-01-02,Shopping Recife,Calça Listrado,2,181.0,362.0
11,2019-01-02,Shopping Recife,Camisa Estampa,1,113.0,113.0
12,2019-01-02,Shopping Midway Mall,Short Xadrez,4,100.0,400.0
12,2019-01-02,Shopping Midway Mall,Sunga Liso,2,114.0,228.0
14,2019-01-02,Bourbon Shopping SP,Casaco Liso,2,255.0,510.0
17,2019-01-02,Iguatemi Campinas,Chinelo Liso,1,71.0,71.0
18,2019-01-02,Rio Mar Shopping Fortaleza,Camisa Estampa,1,113.0,113.0
19,2019-01-02,Passei das Águas Shopping,Relógio Listrado,1,218.0,218.0
19,2019-01-02,Passei das Águas Shopping,Calça Linho,2,211.0,422.0
20,2019-01-02,Shopping Center Interlagos,Mochila Liso,1,276.0,276.0
21,2019-01-02,Iguatemi Esplanada,Camisa Gola V Listrado,2,116.0,232.0
22,2019-01-02,Parque Dom Pedro Shopping,Meia,1,30.0,30.0
22,2019-01-02,Parque Dom Pedro Shopping,Meia Linho,2,78.0,156.0
22,2019-01-02,Parque Dom Pedro Shopping,Calça Liso,2,190.0,380.0
23,2019-01-02,Center Shopping Uberlândia,Bermuda Estampa,3,169.0,507.0
23,2019-01-02,Center Shopping Uberlândia,Chinelo Liso,3,71.0,213.0
26,2019-01-02,Shopping União de Osasco,Chinelo,2,60.0,120.0
27,2019-01-02,Rio Mar Shopping Fortaleza,Sunga Linho,1,149.0,149.0
27,2019-01-02,Rio Mar Shopping Fortaleza,Terno Listrado,2,709.0,1418.0
29,2019-01-02,Shopping Center Leste Aricanduva,Gorro Liso,4,92.0,368.0
31,2019-01-02,Shopping Eldorado,Casaco Estampa,3,256.0,768.0
31,2019-01-02,Shopping Eldorado,Pulseira,3,70.0,210.0
31,2019-01-02,Shopping Eldorado,Gorro Linho,1,124.0,124.0
31,2019-01-02,Shopping Eldorado,Cinto Linho,3,248.0,744.0
32,2019-01-02,Shopping Vila Velha,Polo Liso,1,137.0,137.0
32,2019-01-02,Shopping Vila Velha,Polo Listrado,2,149.0,298.0
33,2019-01-02,Shopping Midway Mall,Camisa,1,100.0,100.0
33,2019-01-02,Shopping Midway Mall,Meia Xadrez,3,41.0,123.0
34,2019-01-02,Iguatemi Esplanada,Sapato Listrado,1,363.0,363.0
34,2019-01-02,Iguatemi Esplanada,Camisa Gola V Liso,2,118.0,236.0
35,2019-01-02,Parque Dom Pedro Shopping,Relógio,2,200.0,400.0
35,2019-01-02,Parque Dom Pedro Shopping,Sapato,2,350.0,700.0
36,2019-01-02,Rio Mar Shopping Fortaleza,Meia Listrado,1,37.0,37.0
38,2019-01-02,Shopping Vila Velha,Meia Xadrez,3,41.0,123.0
38,2019-01-02,Shopping Vila Velha,Relógio,1,200.0,200.0
40,2019-01-02,Shopping Eldorado,Bermuda Linho,1,195.0,195.0
40,2019-01-02,Shopping Eldorado,Chinelo Estampa,1,74.0,74.0
41,2019-01-02,Novo Shopping Ribeirão Preto,Gorro,1,80.0,80.0
41,2019-01-02,Novo Shopping Ribeirão Preto,Short Xadrez,4,100.0,400.0
42,2019-01-02,Shopping União de Osasco,Chinelo,2,60.0,120.0
43,2019-01-02,Shopping Eldorado,Sunga Linho,1,149.0,149.0
43,2019-01-02,Shopping Eldorado,Calça,1,170.0,170.0
44,2019-01-02,Shopping Ibirapuera,Calça,2,170.0,340.0
44,2019-01-02,Shopping Ibirapuera,Camisa Listrado,1,108.0,108.0
44,2019-01-02,Shopping Ibirapuera,Camisa Liso,2,105.0,210.0
45,2019-01-02,Shopping Recife,Camisa Linho,1,141.0,141.0
46,2019-01-02,Rio Mar Recife,Camisa,1,100.0,100.0
46,2019-01-02,Rio Mar Recife,Calça Liso,2,190.0,380.0
46,2019-01-02,Rio Mar Recife,Cinto,1,200.0,200.0
47,2019-01-02,Palladium Shopping Curitiba,Short,1,90.0,90.0
48,2019-01-02,Shopping Midway Mall,Cueca Linho,2,93.0,186.0
49,2019-01-02,Iguatemi Esplanada,Terno Xadrez,3,709.0,2127.0
49,2019-01-02,Iguatemi Esplanada,Sapato Liso,1,368.0,368.0
51,2019-01-02,Parque Dom Pedro Shopping,Cinto Listrado,1,214.0,214.0
52,2019-01-02,Shopping Barra,Gorro Listrado,4,97.0,388.0
54,2019-01-02,Shopping União de Osasco,Cueca Xadrez,1,60.0,60.0
54,2019-01-02,Shopping União de Osasco,Cueca Linho,2,93.0,186.0
54,2019-01-02,Shopping União de Osasco,Meia Liso,5,38.0,190.0
56,2019-01-02,Shopping SP Market,Gorro Linho,3,124.0,372.0
58,2019-01-02,Shopping Eldorado,Cinto Liso,2,209.0,418.0
59,2019-01-02,Palladium Shopping Curitiba,Calça,2,170.0,340.0
60,2019-01-02,Shopping SP Market,Casaco Linho,3,299.0,897.0
60,2019-01-02,Shopping SP Market,Polo Liso,5,137.0,685.0
61,2019-01-02,Novo Shopping Ribeirão Preto,Camisa Gola V Listrado,1,116.0,116.0
61,2019-01-02,Novo Shopping Ribeirão Preto,Camisa Estampa,2,113.0,226.0
62,2019-01-02,Ribeirão Shopping,Camisa Gola V Estampa,1,118.0,118.0
62,2019-01-02,Ribeirão Shopping,Chinelo Estampa,2,74.0,148.0
63,2019-01-02,Iguatemi Esplanada,Sunga,3,100.0,300.0
63,2019-01-02,Iguatemi Esplanada,Camisa Gola V Liso,4,118.0,472.0
65,2019-01-02,Center Shopping Uberlândia,Gorro Listrado,1,97.0,97.0
